"id_code","estate_name","certif_code","svap","x","y","regime_code","regime_id","estate_id"
"Ag1","Ag",0,7.153846154,-4751.5438,-95448.89,"NC",1,1
"Ag2","Ag",0,6.615384615,-4782711,-95337463,"NC",1,1
"Ag4","Ag",0,7.384615385,-5000.3732,-95250544,"NC",1,1
"Ag5","Ag",0,7.384615385,-5123.0435,-95229217,"NC",1,1
"Ag9","Ag",0,7.615384615,-5476.5681,-94635107,"NC",1,1
"Ag3","Ag",1,6.461538462,-4865.4992,-95262074,"C3",2,1
"Ag6","Ag",1,7.846153846,-5371.9446,-94919721,"C3",2,1
"Ag7","Ag",1,7.230769231,-5422.4121,-94834309,"C3",2,1
"Ag8","Ag",1,7.538461538,-5448.8026,-94729807,"C3",2,1
"Ag10","Ag",1,6.230769231,-5432.6281,-94528711,"C3",2,1
"Arr5","Arr",0,7.307692308,-15572696,-64162.47,"NC",1,2
"Arr6","Arr",0,6.846153846,-15658477,-63667832,"NC",1,2
"Arr7","Arr",0,6.846153846,-15630977,-63800751,"NC",1,2
"Arr8","Arr",0,6.461538462,-15592476,-63930.92,"NC",1,2
"Arr9","Arr",0,6.846153846,-15593393,-64052839,"NC",1,2
"Arr15","Arr",0,6,-14610.17,-60039673,"NC",1,2
"Arr16","Arr",0,6.461538462,-14546071,-59964154,"NC",1,2
"Arr17","Arr",0,6,-14472232,-59882911,"NC",1,2
"Arr18","Arr",0,6.384615385,-14429935,-59816045,"NC",1,2
"Arr19","Arr",0,6.384615385,-14390329,-59743335,"NC",1,2
"Arr0","Arr",1,8,-15287492,-61911534,"C5",3,2
"Arr1","Arr",1,8.692307692,-15330371,-62142013,"C5",3,2
"Arr2","Arr",1,8.923076923,-15347806,-62342.5,"C5",3,2
"Arr3","Arr",1,9.153846154,-15384696,-62493512,"C5",3,2
"Arr4","Arr",1,8.384615385,-15501782,-62682776,"C5",3,2
"Arr10","Arr",1,8.538461538,-14949339,-60935059,"C5",3,2
"Arr11","Arr",1,8.846153846,-14916578,-60726571,"C5",3,2
"Arr12","Arr",1,8.692307692,-14777536,-60640626,"C5",3,2
"Arr13","Arr",1,9,-14757198,-60467691,"C5",3,2
"Arr14","Arr",1,8.846153846,-14996944,-61209495,"C5",3,2
"Cav5","Cav",0,5.923076923,-9327.8314,-64032004,"NC",1,3
"Cav6","Cav",0,6.538461538,-9439.2217,-64009532,"NC",1,3
"Cav7","Cav",0,7.076923077,-9565.9553,-64025792,"NC",1,3
"Cav8","Cav",0,6.923076923,-9745.3848,-64068876,"NC",1,3
"Cav9","Cav",0,7.153846154,-9879.4697,-64115173,"NC",1,3
"Cav0","Cav",1,7,-8906.0059,-64113567,"C3",2,3
"Cav1","Cav",1,7.230769231,-8728205,-64129604,"C3",2,3
"Cav2","Cav",1,7.384615385,-8527.2645,-64130752,"C3",2,3
"Cav3","Cav",1,7.153846154,-8344631,-64083.12,"C3",2,3
"Cav4","Cav",1,7.076923077,-8189.9341,-64008887,"C3",2,3
